ClassN1,ID,TextoTratado,CreateTime,TotalTimeTracked,dominant_topic,top_words
ERP,17837,criar centro resultados regra contabil conta copiada coligadas,26/06/2025 13:50:40,2640,6,"ajustado, usado, explicado, solicitada, admitida"
ERP,17613,disponibilizar horario seguirmos sugestoes cronograma finalizacao customizacoes boleto vencimento unidade envio automatico seguranca orientacoes boletos portal cliente utilize primeiros cpf titular unidade,13/06/2025 11:51:17,19140,2,"plano, agrupamento, tamanho, preco, moinho"
ERP,14507,incluir boleto faturamento,20/12/2024 17:21:41,1560,2,"plano, agrupamento, tamanho, preco, moinho"
ERP,11153,criar faturamento similar medicao contrato agendar identificar movimentos serem faturados faturar tera aprovacao aprovacao gerar pre pre conferir enviar,03/06/2024 11:31:41,27300,3,"instalar, liberar, transferir, recuperar, portar"
ERP,18231,avaliacao,14/07/2025 10:21:25,900,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,18211,acesso fluig encontra indisponivel,11/07/2025 16:34:46,720,5,"carrega, sinaliza, possuia, inclui, executou"
Infrastructure,18203,liberaram acesso site ibama,11/07/2025 11:50:25,300,5,"carrega, sinaliza, possuia, inclui, executou"
ERP,18201,transmitir eventos reinf certificado digital renovado recentemente cadastrado funcionando,11/07/2025 10:26:49,1020,6,"ajustado, usado, explicado, solicitada, admitida"
Infrastructure,18198,instalacao clipgrap antivirus bloqueando necessario analisar produto confiavel instalacao portal bitdefender,11/07/2025 09:29:37,4380,8,"xml, sql, mysql, pdf, txt"
ERP,18197,reuniao reuniao,11/07/2025 09:28:24,1020,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,18196,recepcionista acessar planilha excel entrar,11/07/2025 09:22:22,2160,3,"instalar, liberar, transferir, recuperar, portar"
Infrastructure,18194,aparece antigo usuario,11/07/2025 09:04:56,720,5,"carrega, sinaliza, possuia, inclui, executou"
ERP,18192,busca pequeno vulto verificacao pequeno vulto comprovantes,11/07/2025 08:44:26,2160,2,"plano, agrupamento, tamanho, preco, moinho"
Infrastructure,18188,envio planilha locacao,10/07/2025 17:55:09,360,1,"tolerancia, montagem, administracao, unidade, pasta"
ERP,18187,analisar parametrizar consigamos enviar evento social erros evento serro campo fap fap vigencia valores fixos,10/07/2025 17:49:12,1800,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,18186,levantamento usuarios permissoes rede,10/07/2025 17:48:35,660,4,"modelos, produtos, itens, fornecedores, cadastros"
Infrastructure,18185,configuracao boletos,10/07/2025 17:40:11,1020,4,"modelos, produtos, itens, fornecedores, cadastros"
Infrastructure,18183,deslocamento deslocamento casa,10/07/2025 17:23:35,6180,2,"plano, agrupamento, tamanho, preco, moinho"
Infrastructure,18182,reuniao mapeamento acessos pastas rede financeiro juridico diretoria alinhamento demandas pendentes alinhamento construcao planilha locacoes equipamentos,10/07/2025 17:22:20,18000,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,18180,comparar listagem usuarios bitdefender existe licenca removida usuario ativo,10/07/2025 16:00:43,2280,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,18179,comparar listagem usuarios bitdefender existe licenca removida usuario ativo,10/07/2025 15:59:50,1320,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,18178,necessito liberacao acesso pacote office,10/07/2025 15:58:10,480,0,"first, seven, not, three, public"
Infrastructure,18176,acessar pasta compartilhada obra computador onedrive navegador online situacao upload pasta,10/07/2025 15:43:49,1920,1,"tolerancia, montagem, administracao, unidade, pasta"
Infrastructure,18173,arquivo telas computadores colaboradores,10/07/2025 14:23:58,3360,4,"modelos, produtos, itens, fornecedores, cadastros"
Infrastructure,18167,acessar site ibama acesso livre liberar,10/07/2025 12:54:32,300,3,"instalar, liberar, transferir, recuperar, portar"
